"","station","long","lat","ExCode","address","market store","adj_subway","school","cafe","academy","cultural facility","attraction","bank","hospital","bus_station"
"66","독립문","126.957748","37.574571","326","서울특별시 서대문구 통일로 지하 247",0,1,4,11,44,3,1,7,15,27
"67","경복궁","126.97353","37.575762","327","서울특별시 종로구 사직로 지하 130",1,1,0,196,21,44,6,36,36,18
"68","안국","126.985443","37.576477","328","서울특별시 종로구 율곡로 지하 62",0,1,6,250,40,99,18,37,29,30
"69","충무로","126.99428","37.561243","331","서울특별시 중구 퇴계로 지하 199",0,2,0,188,17,14,2,42,39,7
"70","동대입구","127.005602","37.559052","332","서울특별시 중구 동호로 지하 256",0,1,2,30,11,9,1,21,10,11
"71","약수","127.010655","37.55434","333","서울특별시 중구 다산로 지하 122",1,2,3,59,66,2,0,20,59,15
"72","금호","127.015872","37.548034","334","서울특별시 성동구 동호로 지하 104",1,1,1,30,34,0,0,8,35,50
"73","옥수","127.017965","37.540685","335","서울특별시 성동구 동호로 지하 21",1,2,1,31,28,0,0,9,23,17
"74","압구정","127.028461","37.527072","336","서울특별시 강남구 압구정로 지하 172",1,1,1,130,215,20,0,37,373,11
"75","신사","127.020114","37.516334","337","서울특별시 강남구 도산대로 지하 102",0,1,0,187,107,14,1,37,231,11
"76","잠원","127.01122","37.512759","338","서울특별시 서초구 잠원로4길 지하 46",3,1,3,15,46,1,0,12,31,16
"77","고속터미널","127.0049","37.50481","339","서울특별시 서초구 신반포로 지하 188",1,3,1,102,136,7,1,42,78,21
"78","남부터미널","127.016189","37.485013","341","서울특별시 서초구 서초중앙로 지하 31",4,1,0,113,68,16,1,40,55,34
"79","양재","127.034631","37.484147","342","서울특별시 서초구 남부순환로 지하 2585",1,2,5,108,56,3,0,38,89,22
"80","매봉","127.046769","37.486947","343","서울특별시 강남구 남부순환로 지하 2744",1,1,2,54,35,4,0,17,22,14
"81","도곡","127.055381","37.490858","344","서울특별시 강남구 남부순환로 지하 2814",0,2,5,27,46,0,1,28,39,14
"82","대치","127.063642","37.494612","345","서울특별시 강남구 남부순환로 지하 2952",4,1,2,39,209,1,0,20,68,15
"83","학여울","127.070594","37.496663","346","서울특별시 강남구 남부순환로 지하 3104",1,1,0,8,34,5,0,6,17,8
"84","대청","127.079532","37.493514","347","서울특별시 강남구 일원로 지하 2",2,1,3,30,30,0,2,13,34,16
"85","일원","127.08439","37.483681","348","서울특별시 강남구 일원로 지하 121",0,1,5,8,25,3,0,9,19,15
"86","수서","127.10188","37.487371","349","서울특별시 강남구 광평로 지하 270",1,2,3,39,7,0,1,24,30,16
"87","가락시장","127.118234","37.492522","350","서울특별시 송파구 송파대로 지하 257",3,2,2,44,29,1,0,29,54,18
"88","경찰병원","127.12454","37.495918","351","서울특별시 송파구 중대로 지하 149",0,1,2,77,64,1,0,23,49,19
"89","오금","127.128111","37.502162","352","서울특별시 송파구 오금로 지하 321",1,2,2,36,30,1,0,9,11,12
"90","당고개","127.079066","37.670272","409","서울특별시 노원구 상계로 305",0,1,2,24,26,1,0,6,17,7
"91","상계","127.073572","37.660878","410","서울특별시 노원구 상계로 182",0,1,2,65,85,0,0,17,48,23
"92","노원","127.061368","37.655128","411","서울특별시 노원구 상계로 69-1",2,2,2,111,152,4,1,45,155,29
"93","쌍문","127.034709","37.648627","413","서울특별시 도봉구 도봉로 지하 486-1",1,1,3,48,42,2,0,18,42,27
"94","수유","127.025732","37.638052","414","서울특별시 강북구 도봉로 지하 338",0,1,0,112,34,3,1,30,102,43
"95","미아","127.025983","37.62667","415","서울특별시 강북구 도봉로 지하 198",2,1,4,35,43,0,0,12,39,22
"96","미아사거리","127.030053","37.613292","416","서울특별시 강북구 도봉로 지하 50",1,1,4,68,37,3,0,21,80,37
"97","길음","127.025053","37.603407","417","서울특별시 성북구 동소문로 지하 248",1,1,1,29,73,0,0,15,44,34
